"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Canonical Link Element 2","Meta Robots 1","X-Robots-Tag 1"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-38/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.how-ma.com/mag/interview/completion-of-sale-interview-38/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-38/","max-snippet:-1, max-image-preview:large, max-video-preview:-1",""
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-41-2-768x390.png","image/png","200","OK","1.1","Indexable","","","","",""
"https://www.how-ma.com/mag/wp-includes/css/dashicons.min.css?ver=6.9.4","text/css","200","OK","1.1","Indexable","","","","",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-46/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.how-ma.com/mag/interview/completion-of-sale-interview-46/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-46/","max-snippet:-1, max-image-preview:large, max-video-preview:-1",""
"https://www.how-ma.com/mag/sell/completion-of-sale-interview-40/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.how-ma.com/mag/sell/completion-of-sale-interview-40/","https://www.how-ma.com/mag/sell/completion-of-sale-interview-40/","max-snippet:-1, max-image-preview:large, max-video-preview:-1",""
"https://www.how-ma.com/mag/wp-includes/js/thickbox/thickbox.css?ver=6.9.4","text/css","200","OK","1.1","Indexable","","","","",""
"https://www.how-ma.com/mag/sell/souba-kyukyoku/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.how-ma.com/mag/sell/souba-kyukyoku/","https://www.how-ma.com/mag/sell/souba-kyukyoku/","max-snippet:-1, max-image-preview:large, max-video-preview:-1",""
"https://www.how-ma.com/mag/wp-content/themes/the-thor/js/offline.min.js?ver=6.9.4","application/javascript","200","OK","1.1","Indexable","","","","",""
"https://www.how-ma.com/mag/content_policy/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.how-ma.com/mag/content_policy/","https://www.how-ma.com/mag/content_policy/","max-snippet:-1, max-image-preview:large, max-video-preview:-1",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-42/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.how-ma.com/mag/interview/completion-of-sale-interview-42/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-42/","max-snippet:-1, max-image-preview:large, max-video-preview:-1",""
"https://www.how-ma.com/_next/image?url=%2Fnext%2Flogo_gigazine.png&w=384&q=75","image/png","200","OK","1.1","Indexable","","","","",""
"https://www.how-ma.com/market_price/stations/6113","text/html; charset=utf-8","302","Found","1.1","Non-Indexable","Redirected","","","",""
"https://www.how-ma.com/market_price/stations/5822","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.how-ma.com/market_price/stations/5822","","",""
"https://www.how-ma.com/market_price/stations/7208","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.how-ma.com/market_price/stations/7208","","",""
"https://www.how-ma.com/market_price/stations/5821","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.how-ma.com/market_price/stations/5821","","",""
"https://www.how-ma.com/market_price/stations/5700","text/html; charset=utf-8","302","Found","1.1","Non-Indexable","Redirected","","","",""
"https://www.how-ma.com/_next/static/chunks/4927-475b149b825dc39e.js","application/javascript; charset=UTF-8","200","OK","1.1","Indexable","","","","",""
"https://www.how-ma.com/market_price/stations/9064","text/html; charset=utf-8","302","Found","1.1","Non-Indexable","Redirected","","","",""
"https://www.how-ma.com/_next/image?url=%2Fnext%2Flogo_cnet.jpg&w=384&q=75","image/jpeg","200","OK","1.1","Indexable","","","","",""
"https://www.how-ma.com/_next/static/chunks/3781-8413f2bf86342267.js","application/javascript; charset=UTF-8","200","OK","1.1","Indexable","","","","",""
"https://www.how-ma.com/market_price/stations/5946","text/html; charset=utf-8","302","Found","1.1","Non-Indexable","Redirected","","","",""
"https://www.how-ma.com/market_price/stations/7209","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.how-ma.com/market_price/stations/7209","","",""
"https://www.how-ma.com/next/top/icon_interviewee_2.svg","image/svg+xml","200","OK","1.1","Indexable","","","","",""
"https://www.how-ma.com/market_price/stations/6003","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.how-ma.com/market_price/stations/6003","","",""
"https://www.how-ma.com/market_price/stations/9512","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.how-ma.com/market_price/stations/9512","","",""
"https://www.how-ma.com/market_price/stations/9634","text/html; charset=utf-8","302","Found","1.1","Non-Indexable","Redirected","","","",""
"https://www.how-ma.com/market_price/stations/6009","text/html; charset=utf-8","302","Found","1.1","Non-Indexable","Redirected","","","",""
"https://www.how-ma.com/mansions/search/青森県","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.how-ma.com/mansions/search/青森県","","",""
"https://www.how-ma.com/_next/static/chunks/5786-65cda15faa84276f.js","application/javascript; charset=UTF-8","200","OK","1.1","Indexable","","","","",""
"https://www.how-ma.com/mansions/search/東京都/練馬区","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.how-ma.com/mansions/search/東京都/練馬区","","",""
"https://www.how-ma.com/_next/image?url=%2Fnext%2Flogo_nomura-plus.png&w=256&q=75","image/png","200","OK","1.1","Indexable","","","","",""
"https://www.how-ma.com/next/top/icon_customer_5.svg","image/svg+xml","200","OK","1.1","Indexable","","","","",""
"https://www.how-ma.com/market_price/stations/7210","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.how-ma.com/market_price/stations/7210","","",""
"https://www.how-ma.com/_next/static/chunks/9352-0ba277d97b11e4c3.js","application/javascript; charset=UTF-8","200","OK","1.1","Indexable","","","","",""
"https://www.how-ma.com/market_price/stations/9084","text/html; charset=utf-8","302","Found","1.1","Non-Indexable","Redirected","","","",""
"https://www.how-ma.com/mansions/search/京都府","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.how-ma.com/mansions/search/京都府","","",""
"https://www.how-ma.com/mansions/search/山梨県","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.how-ma.com/mansions/search/山梨県","","",""
"https://www.how-ma.com/mansions/search/大分県","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.how-ma.com/mansions/search/大分県","","",""
"https://www.how-ma.com/mag/sell/owner-change","text/html; charset=UTF-8","200","OK","1.1","Non-Indexable","Canonicalised","https://www.how-ma.com/mag/sell/owner-change/","https://www.how-ma.com/mag/sell/owner-change/","max-snippet:-1, max-image-preview:large, max-video-preview:-1",""
