"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","Canonical Link Element 2","URL Encoded Address"
"https://www.how-ma.com/mansions/search/栃木県","text/html; charset=utf-8","200","OK","Indexable","","1896d801b5407bfe06ed2c583bd4f53","42","https://www.how-ma.com/mansions/search/栃木県","","https://www.how-ma.com/mansions/search/%E6%A0%83%E6%9C%A8%E7%9C%8C"
"https://www.how-ma.com/market_price/stations/9051","text/html; charset=utf-8","200","OK","Indexable","","9cc81fe5adbe4e28835fe48f50046fe1","49","https://www.how-ma.com/market_price/stations/9051","","https://www.how-ma.com/market_price/stations/9051"
"https://www.how-ma.com/mansions/search/岡山県/岡山市","text/html; charset=utf-8","200","OK","Indexable","","d095cd87b3889bef1c2431a39e030e12","46","https://www.how-ma.com/mansions/search/岡山県/岡山市","","https://www.how-ma.com/mansions/search/%E5%B2%A1%E5%B1%B1%E7%9C%8C/%E5%B2%A1%E5%B1%B1%E5%B8%82"
"https://www.how-ma.com/_next/static/chunks/7282-49d4ba96613d3453.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","67","","","https://www.how-ma.com/_next/static/chunks/7282-49d4ba96613d3453.js"
"https://www.how-ma.com/_next/image?url=%2Fnext%2Ftop%2Fmypage_mock.png&w=384&q=75","image/png","200","OK","Indexable","","","81","","","https://www.how-ma.com/_next/image?url=%2Fnext%2Ftop%2Fmypage_mock.png&w=384&q=75"
"https://www.how-ma.com/market_price/stations/5377","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","","49","","","https://www.how-ma.com/market_price/stations/5377"
"https://www.how-ma.com/mansions/search/鹿児島県","text/html; charset=utf-8","200","OK","Indexable","","5e56785f3c4366369dc7f4a6d05564a6","43","https://www.how-ma.com/mansions/search/鹿児島県","","https://www.how-ma.com/mansions/search/%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C"
"https://www.how-ma.com/market_price/stations/5810","text/html; charset=utf-8","200","OK","Indexable","","4324accd10b3264fcf7088fd0c539118","49","https://www.how-ma.com/market_price/stations/5810","","https://www.how-ma.com/market_price/stations/5810"
"https://www.how-ma.com/next/logo_howma.svg","image/svg+xml","200","OK","Indexable","","","42","","","https://www.how-ma.com/next/logo_howma.svg"
"https://www.how-ma.com/market_price/stations/9052","text/html; charset=utf-8","200","OK","Indexable","","c42e34a3cd16d49f3e3b01ef651eef09","49","https://www.how-ma.com/market_price/stations/9052","","https://www.how-ma.com/market_price/stations/9052"
"https://www.how-ma.com/mansions/search/兵庫県","text/html; charset=utf-8","200","OK","Indexable","","f538ddf45a7afd264abf823fd0cc53eb","42","https://www.how-ma.com/mansions/search/兵庫県","","https://www.how-ma.com/mansions/search/%E5%85%B5%E5%BA%AB%E7%9C%8C"
"https://www.how-ma.com/_next/static/chunks/8895-8ae484da28ae9517.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","67","","","https://www.how-ma.com/_next/static/chunks/8895-8ae484da28ae9517.js"
"https://www.how-ma.com/next/top/icon_interviewee_3.svg","image/svg+xml","200","OK","Indexable","","","54","","","https://www.how-ma.com/next/top/icon_interviewee_3.svg"
"https://www.how-ma.com/_next/image?url=%2Fnext%2Flogo_howma_magazine.png&w=640&q=75","image/png","200","OK","Indexable","","","83","","","https://www.how-ma.com/_next/image?url=%2Fnext%2Flogo_howma_magazine.png&w=640&q=75"
"https://www.how-ma.com/next/top/icon_customer_1.svg","image/svg+xml","200","OK","Indexable","","","51","","","https://www.how-ma.com/next/top/icon_customer_1.svg"
"https://www.how-ma.com/mansions/search/東京都/目黒区","text/html; charset=utf-8","200","OK","Indexable","","18b77828ab21d3dc0a177cdb4a4bf8ac","46","https://www.how-ma.com/mansions/search/東京都/目黒区","","https://www.how-ma.com/mansions/search/%E6%9D%B1%E4%BA%AC%E9%83%BD/%E7%9B%AE%E9%BB%92%E5%8C%BA"
"https://www.how-ma.com/_next/static/chunks/6644-0df008442a957755.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","67","","","https://www.how-ma.com/_next/static/chunks/6644-0df008442a957755.js"
"https://www.how-ma.com/mag/sell/mystery-brokerage","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","c3371fbf3e9206c7d6e33a91118af87f","49","https://www.how-ma.com/mag/sell/mystery-brokerage/","https://www.how-ma.com/mag/sell/mystery-brokerage/","https://www.how-ma.com/mag/sell/mystery-brokerage"
"https://www.how-ma.com/mansions/search/鳥取県","text/html; charset=utf-8","200","OK","Indexable","","30e9d56a3a1ff46a3c7abeb64ed78fd5","42","https://www.how-ma.com/mansions/search/鳥取県","","https://www.how-ma.com/mansions/search/%E9%B3%A5%E5%8F%96%E7%9C%8C"
"https://www.how-ma.com/_next/static/chunks/6438-879e86746f906139.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","67","","","https://www.how-ma.com/_next/static/chunks/6438-879e86746f906139.js"
"https://www.how-ma.com/market_price/stations/5814","text/html; charset=utf-8","200","OK","Indexable","","56cb367897d48fa2035d3e2a42bb3280","49","https://www.how-ma.com/market_price/stations/5814","","https://www.how-ma.com/market_price/stations/5814"
"https://www.how-ma.com/market_price/stations/5813","text/html; charset=utf-8","200","OK","Indexable","","d2336b781bc3f831122b7db6349dd108","49","https://www.how-ma.com/market_price/stations/5813","","https://www.how-ma.com/market_price/stations/5813"
"https://www.how-ma.com/mag/sell/rinjin-trouble","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","fbb5ba7f3cc254bccc2e7494b2c5e9d8","46","https://www.how-ma.com/mag/sell/rinjin-trouble/","https://www.how-ma.com/mag/sell/rinjin-trouble/","https://www.how-ma.com/mag/sell/rinjin-trouble"
"https://www.how-ma.com/mansions/search/東京都/墨田区","text/html; charset=utf-8","200","OK","Indexable","","2f6796be52fd6a701ad2922980e5e84d","46","https://www.how-ma.com/mansions/search/東京都/墨田区","","https://www.how-ma.com/mansions/search/%E6%9D%B1%E4%BA%AC%E9%83%BD/%E5%A2%A8%E7%94%B0%E5%8C%BA"
"https://www.how-ma.com/mansions/search/愛知県","text/html; charset=utf-8","200","OK","Indexable","","8f9aea87a6417f5bc9dc267f77bd0c94","42","https://www.how-ma.com/mansions/search/愛知県","","https://www.how-ma.com/mansions/search/%E6%84%9B%E7%9F%A5%E7%9C%8C"
"https://www.how-ma.com/market_price/stations/11048","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","","50","","","https://www.how-ma.com/market_price/stations/11048"
"https://www.how-ma.com/market_price/stations/11049","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","","50","","","https://www.how-ma.com/market_price/stations/11049"
"https://www.how-ma.com/market_price/stations/6038","text/html; charset=utf-8","200","OK","Indexable","","b1b7a61f1f0d7be3b3bf569dbbae9ffb","49","https://www.how-ma.com/market_price/stations/6038","","https://www.how-ma.com/market_price/stations/6038"
"https://www.how-ma.com/market_price/stations/6036","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","","49","","","https://www.how-ma.com/market_price/stations/6036"
"https://www.how-ma.com/next/top/building.svg","image/svg+xml","200","OK","Indexable","","","44","","","https://www.how-ma.com/next/top/building.svg"
"https://www.how-ma.com/next/top/icon_customer_6.svg","image/svg+xml","200","OK","Indexable","","","51","","","https://www.how-ma.com/next/top/icon_customer_6.svg"
"https://www.how-ma.com/next/top/customer-border4.svg","image/svg+xml","200","OK","Indexable","","","52","","","https://www.how-ma.com/next/top/customer-border4.svg"
"https://www.how-ma.com/mansions/search/長崎県","text/html; charset=utf-8","200","OK","Indexable","","208aefc0e509e50205433625e80f3b4b","42","https://www.how-ma.com/mansions/search/長崎県","","https://www.how-ma.com/mansions/search/%E9%95%B7%E5%B4%8E%E7%9C%8C"
"https://www.how-ma.com/mansions/search/東京都/葛飾区","text/html; charset=utf-8","200","OK","Indexable","","bea7c8c2c34fc6d21718f35d966d72ea","46","https://www.how-ma.com/mansions/search/東京都/葛飾区","","https://www.how-ma.com/mansions/search/%E6%9D%B1%E4%BA%AC%E9%83%BD/%E8%91%9B%E9%A3%BE%E5%8C%BA"
"https://www.how-ma.com/market_price/stations/11042","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","","50","","","https://www.how-ma.com/market_price/stations/11042"
"https://www.how-ma.com/_next/static/chunks/4356-ff6890b0dcdc24dd.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","67","","","https://www.how-ma.com/_next/static/chunks/4356-ff6890b0dcdc24dd.js"
"https://www.how-ma.com/market_price/mansions/53721","text/html; charset=utf-8","200","OK","Indexable","","d88d0d3eb70584d5b3d63e049934488e","50","https://www.how-ma.com/market_price/mansions/53721","","https://www.how-ma.com/market_price/mansions/53721"
"https://www.how-ma.com/market_price/stations/6034","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","","49","","","https://www.how-ma.com/market_price/stations/6034"
"https://www.how-ma.com/market_price/stations/6033","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","","49","","","https://www.how-ma.com/market_price/stations/6033"
"https://www.how-ma.com/market_price/stations/10991","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","","50","","","https://www.how-ma.com/market_price/stations/10991"
"https://www.how-ma.com/next/logo_howma_white.svg","image/svg+xml","200","OK","Indexable","","","48","","","https://www.how-ma.com/next/logo_howma_white.svg"
"https://www.how-ma.com/market_price/stations/3204","text/html; charset=utf-8","200","OK","Indexable","","4f404b41b9e0fb771f90f7ba7d629acb","49","https://www.how-ma.com/market_price/stations/3204","","https://www.how-ma.com/market_price/stations/3204"
"https://www.how-ma.com/market_price/stations/6031","text/html; charset=utf-8","200","OK","Indexable","","598bb2ee6be17a5c3af0048de9a3c0cb","49","https://www.how-ma.com/market_price/stations/6031","","https://www.how-ma.com/market_price/stations/6031"
"https://www.how-ma.com/market_price/stations/11047","text/html; charset=utf-8","200","OK","Indexable","","43bbf51d6ff71ae2656c43fb9e6d0850","50","https://www.how-ma.com/market_price/stations/11047","","https://www.how-ma.com/market_price/stations/11047"
"https://www.how-ma.com/_next/static/chunks/9220-0cc7953133e18f9c.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","67","","","https://www.how-ma.com/_next/static/chunks/9220-0cc7953133e18f9c.js"
"https://www.how-ma.com/_next/static/chunks/app/layout-fbe5ca284ef90c1a.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","73","","","https://www.how-ma.com/_next/static/chunks/app/layout-fbe5ca284ef90c1a.js"
"https://www.how-ma.com/market_price/stations/11050","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","","50","","","https://www.how-ma.com/market_price/stations/11050"
"https://www.how-ma.com/market_price/stations/6049","text/html; charset=utf-8","200","OK","Indexable","","51fdd1ecff39001647a75e1c3fa7bc70","49","https://www.how-ma.com/market_price/stations/6049","","https://www.how-ma.com/market_price/stations/6049"
